Price,Area,NumberBed,NumberToilet,HuongNha,HuongBanCong,NoiThat,Chudautu,QuyMo,ViDo,KinhDo,LoaiTin,Quan,Price_per_m2
3410000000.0,134.0,3,2,Tây-Nam,Đông-Bắc,Bàn giao thô.,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,Tin Vip đặc biệt,Bắc Từ Liêm,25447761.19402985
1190000000.0,47.0,1,1,Tây-Nam,Đông-Bắc,"Bàn giao đầy đủ nội thất gồm: - Trần thạch cao - Hệ thống đèn chiếu sáng - Hệ thống cửa nhà với khóa mã số - Chuông hình - Sàn gỗ phòng ngủ, sàn gạch phòng khách - Thiết bị vệ sinh - Điều hòa.",0,"2.300 căn biệt thự, 66 tòa căn hộ",20.9944016328485,105.94917678833,Tin Vip đặc biệt,Gia Lâm,25319148.936170213
2050000000.0,84.0,2,2,Tây-Nam,Đông-Bắc,0,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,Tin Vip 1,Bắc Từ Liêm,24404761.904761903
2850000000.0,89.0,3,2,Đông-Nam,Tây-Nam,0,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco,"gồm: 08 tòa chung cư cao 35 tầng (A2, A3, A6, A7) và 28 tầng (A1, A4, A5, A8)",21.0495662689209,105.778594970703,Tin Vip 1,Bắc Từ Liêm,32022471.91011236
2050000000.0,68.0,2,2,Đông-Nam,Tây-Bắc,Full nội thất.,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,Tin Vip 1,Bắc Từ Liêm,30147058.82352941
2700000000.0,70.0,2,2,Tây-Nam,Đông-Bắc,Full.,Tập đoàn Vingroup,Tổ hợp các căn hộ cao cấp,20.998958587646502,105.788032531738,Tin Vip 1,Nam Từ Liêm,38571428.571428575
2100000000.0,84.0,2,2,Tây-Nam,Đông-Bắc,0,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,Tin Vip 1,Bắc Từ Liêm,25000000.0
2940000000.0,106.0,3,2,Đông-Nam,Đông-Nam,0,Công ty TNHH Gamuda Land Việt Nam,Gồm 3 Block chung cư cao 35 tầng,20.965379714965803,105.850639343262,Tin Vip 1,Hoàng Mai,27735849.056603774
1800000000.0,68.0,2,2,Đông-Nam,Tây-Bắc,"Cơ bản, theo tiêu chuẩn CĐT",0,"2.300 căn biệt thự, 66 tòa căn hộ",21.00241470336914,105.964111328125,Tin Vip 1,Gia Lâm,26470588.23529412
4300000000.0,88.4,3,2,Đông-Nam,Tây-Bắc,0,Tập đoàn Vingroup,Tổ hợp các căn hộ cao cấp,20.998958587646502,105.788032531738,Tin Vip 1,Nam Từ Liêm,48642533.93665158
