Price,Area,NumberBed,NumberToilet,HuongNha,HuongBanCong,NoiThat,Chudautu,ViDo,KinhDo,LoaiTin
2750000000.0,56.9,2,2,8,5,0,9,20.9800987243652,105.87424468994101,3
1070000000.0,63.0,2,2,6,7,0,447,20.963314056396502,105.82673645019501,3
1190000000.0,70.0,2,2,6,7,1,447,20.962467193603498,105.79236602783199,3
2700000000.0,96.0,3,2,7,6,0,105,20.970058441162106,105.87777709960899,3
2250000000.0,84.0,2,2,7,6,1,245,21.0403366088867,105.76758575439501,3
1800000000.0,80.0,2,2,7,6,1,177,20.9830436706543,105.757339477539,3
2900000000.0,98.0,3,2,7,6,1,20,21.033765792846697,105.770301818848,3
1850000000.0,53.0,1,1,4,3,0,1403,20.9947910308838,105.86784362792999,3
2200000000.0,94.0,3,2,7,6,1,162,21.02958106994629,105.85041046142578,3
2680000000.0,78.47,3,2,7,6,1,162,21.0443172454834,105.877861022949,3
2200000000.0,45.0,1,1,7,6,0,1403,21.0201683044434,105.78075408935499,3
899000000.0,72.0,2,2,7,6,0,1,20.955835,105.75636580000001,3
2980000000.0,80.0,2,2,7,6,0,35,21.0347061157227,105.792343139648,3
4900000000.0,115.0,3,2,1,7,1,92,21.072135925293,105.810997009277,3
3850000000.0,86.0,3,2,1,2,1,1403,20.998958587646502,105.788032531738,2
1700000000.0,42.3,1,2,1,2,0,1,21.021903299999998,105.81577320000001,2
1150000000.0,68.0,2,2,7,6,1,38,21.0374660491943,105.907508850098,2
2200000000.0,74.0,2,2,7,6,1,1,20.9739685058594,105.82169342041,2
3800000000.0,154.3,3,3,4,8,1,107,20.9865188598633,105.78639984130899,2
1030000000.0,29.0,1,1,6,7,1,1403,20.998958587646502,105.788032531738,2
2450000000.0,107.0,3,2,7,6,0,78,20.973667144775398,105.75871276855499,2
2100000000.0,67.0,2,2,6,6,1,102,20.9842433929443,105.808448791504,2
3400000000.0,70.0,2,2,6,7,1,84,21.0371532440186,105.786338806152,2
1850000000.0,65.0,2,1,6,7,1,1,21.008255600000002,105.8337185,2
1900000000.0,112.0,3,2,6,7,1,78,20.973667144775398,105.75871276855499,2
1100000000.0,64.0,2,1,6,7,1,447,20.962467193603498,105.79236602783199,2
6800000000.0,245.5,4,3,6,7,0,29,21.0511646270752,105.79280090332001,2
2700000000.0,75.0,2,2,4,4,1,1403,20.9947910308838,105.86784362792999,2
1950000000.0,65.0,2,2,4,3,0,5,21.0324401855469,105.778594970703,2
1370000000.0,60.0,2,1,4,3,0,1,21.0024147033691,105.964111328125,2
880000000.0,48.0,1,1,7,6,1,1,20.9986278,105.8604904,2
2900000000.0,95.0,3,2,7,6,0,105,20.965379714965803,105.850639343262,2
2800000000.0,75.0,2,2,5,8,1,1,20.9999027252197,105.80218505859399,2
2700000000.0,94.5,2,2,5,8,1,25,21.031446456909197,105.900825500488,2
1200000000.0,43.0,1,1,5,8,1,1,21.0024147033691,105.964111328125,2
3100000000.0,70.0,2,2,5,8,0,285,21.0058059692383,105.79437255859399,2
3900000000.0,90.0,2,2,3,3,1,1,21.0099925994873,105.773422241211,2
3395000000.0,95.3,3,2,7,6,1,105,20.965379714965803,105.850639343262,2
4199000000.0,132.0,4,3,8,5,1,1403,21.0461521148682,105.915649414063,2
1650000000.0,54.0,2,1,5,8,1,2,21.0253524780273,105.74130249023399,2
2300000000.0,100.0,3,2,7,6,1,78,20.973667144775398,105.75871276855499,2
2750000000.0,69.0,2,2,7,6,1,1403,20.998958587646502,105.788032531738,2
2269000000.0,77.4,2,2,7,6,1,50,20.985540390014602,105.79894256591801,2
1500000000.0,69.9,2,2,7,6,0,49,21.0096874237061,105.72159576416,2
1900000000.0,96.8,3,2,7,6,0,49,21.0096874237061,105.72159576416,2
2700000000.0,75.0,2,2,7,6,1,1,20.9999027252197,105.80218505859399,2
1900000000.0,60.0,2,2,7,6,1,50,20.985540390014602,105.79894256591801,2
5050000000.0,110.0,3,2,7,6,0,1,21.0099925994873,105.773422241211,2
4050000000.0,86.0,3,2,7,6,0,1,21.0099925994873,105.773422241211,2
3300000000.0,79.0,2,2,7,6,1,285,21.0058059692383,105.79437255859399,2
2500000000.0,98.6,3,2,7,6,1,75,20.9605541229248,105.845962524414,2
5000000000.0,78.42,2,2,7,6,0,1,21.0317993164063,105.814193725586,2
850000000.0,64.7,2,2,6,7,0,447,20.962467193603498,105.79236602783199,2
1600000000.0,68.0,2,2,7,6,1,67,20.9733200073242,105.778282165527,2
6600000000.0,127.0,3,2,7,6,0,160,21.04117202758789,105.825096130371,2
2300000000.0,88.0,3,2,7,6,1,1,20.956588745117198,105.844886779785,2
5200000000.0,108.0,3,2,7,6,1,84,21.0371532440186,105.786338806152,2
3600000000.0,126.0,3,2,6,7,1,208,20.9796447753906,105.792343139648,2
1500000000.0,38.0,1,1,7,6,1,285,21.0058059692383,105.79437255859399,2
3700000000.0,85.0,2,2,6,7,1,285,21.0058059692383,105.79437255859399,2
7600000000.0,125.41,3,2,6,7,0,6,21.055467605590803,105.795883178711,2
2400000000.0,78.6,2,2,6,7,1,35,20.9960613250732,105.823448181152,2
2200000000.0,66.0,2,2,8,5,1,1403,21.0461521148682,105.915649414063,2
2900000000.0,93.0,3,2,8,5,0,105,20.965379714965803,105.850639343262,2
2900000000.0,93.0,3,2,8,5,1,105,20.965379714965803,105.850639343262,2
2950000000.0,127.0,3,2,8,5,1,35,20.97843933105469,105.77264404296899,2
4650000000.0,86.0,2,2,8,5,1,1,21.0082607269287,105.796043395996,2
4200000000.0,55.0,1,2,8,5,0,1,21.0317993164063,105.814193725586,2
3900000000.0,87.0,3,2,8,5,0,1,21.0099925994873,105.773422241211,2
2950000000.0,70.0,2,2,8,5,0,1403,20.998958587646502,105.788032531738,2
1280000000.0,74.0,2,2,7,6,1,286,21.0083923339844,105.73024749755899,2
2400000000.0,69.9,2,2,7,6,1,121,21.0160980224609,105.79248809814501,2
1100000000.0,76.0,2,2,7,6,1,33,20.9397029876709,105.787254333496,2
1640000000.0,59.0,2,2,6,6,1,1,21.0024147033691,105.964111328125,2
4100000000.0,100.0,3,2,7,5,0,123,20.9972763061523,105.80298614502001,2
6900000000.0,186.7,4,4,7,6,1,141,21.0639667510986,105.805503845215,2
2280000000.0,69.0,2,2,6,8,1,1,21.0024147033691,105.964111328125,2
2900000000.0,79.0,2,2,5,8,1,43,21.012432098388697,105.76739501953101,2
2250000000.0,50.0,2,1,7,6,1,1403,21.0461521148682,105.915649414063,2
3200000000.0,135.0,3,3,7,6,0,102,20.9830627441406,105.80908203125,2
1550000000.0,85.0,2,1,5,6,0,1,20.99350068476984,105.79788190692595,2
2950000000.0,105.0,3,2,5,8,1,107,20.987026214599602,105.786834716797,2
13000000000.0,210.0,5,4,5,8,0,160,21.04117202758789,105.825096130371,2
2600000000.0,39.0,1,1,7,6,1,1,21.0219715,105.8508612,2
3300000000.0,111.0,2,2,7,6,1,35,21.008365631103498,105.802909851074,1
1650000000.0,56.5,2,1,7,6,1,14,21.0149936676025,105.782699584961,1
9300000000.0,120.0,3,3,7,6,0,6,21.044471740722656,105.84562683105469,1
2900000000.0,90.0,3,2,4,6,1,286,21.0495662689209,105.778594970703,1
1040000000.0,63.0,2,2,4,3,0,208,20.97145652770996,105.8281707763672,1
4300000000.0,119.0,3,2,7,6,1,1403,21.0365676879883,105.760482788086,1
3200000000.0,83.0,2,2,7,6,1,153,21.053024291992198,105.798637390137,1
3650000000.0,128.0,3,2,7,6,0,32,21.0190162658691,105.79320526122999,1
1900000000.0,66.8,2,2,7,6,1,49,21.0523986816406,105.78018188476601,1
