Giá,Diện tích,Số phòng ngủ,Số toilet,Chủ đầu tư
1000000000.0,50.0,2,1,Công ty Cổ phần Tập đoàn FLC
3500000000.0,132.9,3,2,
3300000000.0,138.0,3,3,Công ty TNHH Bất động sản và Xây dựng Việt Hưng
2300000000.0,58.0,2,2,Tập đoàn Vingroup
3650000000.0,109.7,3,2,
2150000000.0,86.0,2,2,
3100000000.0,70.0,2,2,Công ty CP Đầu tư Xây dựng Phát triển nhà số 7 Hà Nội 
2900000000.0,80.0,2,2,Tập đoàn Vingroup
3000000000.0,103.3,3,2,Công ty CP Xây dựng và Kỹ thuật Việt Nam 
3300000000.0,111.0,3,2,
2850000000.0,95.0,3,2,Công ty CP Thi công cơ giới xây lắp
3000000000.0,103.0,3,2,Công ty CP Đầu tư Xây dựng BĐS Lanmak
1850000000.0,42.0,1,1,Tập đoàn Vingroup
2300000000.0,75.9,3,2,Tập đoàn Vingroup
2300000000.0,74.0,2,2,Công ty CP Đầu tư và Phát triển Hòa Bình - HBI
2250000000.0,92.4,2,2,
2000000000.0,75.0,2,2,Công ty TNHH Bất động sản và Xây dựng Việt Hưng
3700000000.0,112.0,3,2,Công ty CP Hoa Anh Đào
5000000000.0,116.0,2,2,Công ty TNHH Indochina Land
3580000000.0,100.0,3,2,Công ty CP Tập đoàn Sunshine
4200000000.0,192.0,4,4,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD
2740000000.0,74.18,2,2,
1950000000.0,110.0,3,2,Công ty CP Xây dựng và Thương mại Bắc Hà
1800000000.0,76.0,2,2,Công ty CP may Hồ Gươm - HOGARSCO
1600000000.0,51.0,2,1,Tân Hoàng Minh Group
2550000000.0,83.06,3,2,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco
1850000000.0,54.25,1,1,Công ty TNHH Gamuda Land Việt Nam
1700000000.0,91.0,3,2,
1700000000.0,88.0,3,2,Tập đoàn Anh Quân Strong 
3200000000.0,90.0,3,2,
2590000000.0,99.0,3,2,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân
1800000000.0,65.0,2,2,Công ty CP Ngôi sao An Bình
2900000000.0,83.0,2,2,Tập đoàn Vingroup
990000000.0,71.0,2,2,Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên
3990000000.0,123.9,3,2,Công ty CP Tập đoàn Sunshine
1700000000.0,58.7,2,1,
930000000.0,70.0,2,2,Công ty CP Đầu tư và Xây dựng HUD3
3680000000.0,129.0,3,2,HD Mon Holdings
3550000000.0,96.0,3,2,Công ty CP Đầu tư Văn Phú - Invest
2300000000.0,135.0,4,3,
4400000000.0,103.4,3,2,HD Mon Holdings
2000000000.0,71.0,2,2,
1850000000.0,54.0,2,1,
570000000.0,42.15,1,1,Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên
3200000000.0,120.0,4,2,Công ty CP Đầu tư An Lạc
3200000000.0,86.0,3,2,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco
2100000000.0,66.8,2,2,Công ty CP Ngôi sao An Bình
1480000000.0,58.14,2,1,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD
1310000000.0,68.0,2,2,Công ty CP Eurowindow Holding
4200000000.0,103.4,3,2,Công ty CP Tập đoàn Sunshine
2874000000.0,63.3,1,1,Tổng công ty Xây dựng Thanh Hóa - Công ty Cổ phần
6.0,6.0,6,6,6
650000000.0,32.0,1,1,
4250000000.0,120.0,3,1,
1850000000.0,53.0,1,1,Tập đoàn Vingroup
550000000.0,35.0,2,1,
4900000000.0,148.6,4,2,Công ty CP Đầu tư Thương mại Dịch vụ Cầu Giấy
2120000000.0,70.0,2,2,Tập đoàn Vingroup
1300000000.0,43.0,1,1,Tập đoàn Vingroup
